Año - Mes,Tasa de desempleo
2001 Ene,"16,69"
2001 Feb,"17,31"
2001 Mar,"15,71"
2001 Abr,"14,59"
2001 May,"14,23"
2001 Jun,"15,23"
2001 Jul,"15,02"
2001 Ago,"14,71"
2001 Sep,"14,28"
2001 Oct,"14,59"
2001 Nov,"13,55"
2001 Dic,"13,84"
2002 Ene,"17,87"
2002 Feb,"15,85"
2002 Mar,"14,95"
2002 Abr,"16,29"
2002 May,"14,43"
2002 Jun,"16,25"
2002 Jul,"15,41"
2002 Ago,"15,78"
2002 Sep,"14,56"
2002 Oct,"14,81"
2002 Nov,"14,71"
2002 Dic,"15,77"
2003 Ene,"16,12"
2003 Feb,"16,28"
2003 Mar,"12,98"
2003 Abr,"14,80"
2003 May,"12,89"
2003 Jun,"14,14"
2003 Jul,"14,44"
2003 Ago,"14,43"
2003 Sep,"14,26"
2003 Oct,"13,70"
2003 Nov,"12,91"
2003 Dic,"12,19"
2004 Ene,"17,00"
2004 Feb,"15,69"
2004 Mar,"13,62"
2004 Abr,"14,68"
2004 May,"13,75"
2004 Jun,"14,00"
2004 Jul,"12,94"
2004 Ago,"13,09"
2004 Sep,"12,51"
2004 Oct,"12,59"
2004 Nov,"11,78"
2004 Dic,"12,07"
2005 Ene,"13,22"
2005 Feb,"14,23"
2005 Mar,"12,95"
2005 Abr,"12,06"
2005 May,"12,31"
2005 Jun,"11,52"
2005 Jul,"12,00"
2005 Ago,"11,75"
2005 Sep,"11,17"
2005 Oct,"9,96"
2005 Nov,"10,21"
2005 Dic,"10,33"
2006 Ene,"13,41"
2006 Feb,"13,00"
2006 Mar,"11,34"
2006 Abr,"12,01"
2006 May,"11,88"
2006 Jun,"10,61"
2006 Jul*,"12,39"
2006 Ago*,"12,79"
2006 Sep,"12,89"
2006 Oct,"11,35"
2006 Nov,"10,94"
2006 Dic,"11,78"
2007 Ene,"13,90"
2007 Feb,"12,83"
2007 Mar,"11,93"
2007 Abr,"10,90"
2007 May,"11,53"
2007 Jun,"11,16"
2007 Jul,"11,16"
2007 Ago,"10,73"
2007 Sep,"10,84"
2007 Oct,"10,05"
2007 Nov,"9,42"
2007 Dic,"9,89"
2008 Ene,"13,08"
2008 Feb,"11,99"
2008 Mar,"11,22"
2008 Abr,"11,13"
2008 May,"10,84"
2008 Jun,"11,17"
2008 Jul,"12,06"
2008 Ago,"11,22"
2008 Sep,"10,95"
2008 Oct,"10,12"
2008 Nov,"10,80"
2008 Dic,"10,61"
2009 Ene,"14,25"
2009 Feb,"12,49"
2009 Mar,"11,99"
2009 Abr,"12,14"
2009 May,"11,66"
2009 Jun,"11,34"
2009 Jul,"12,63"
2009 Ago,"11,74"
2009 Sep,"12,16"
2009 Oct,"11,55"
2009 Nov,"11,08"
2009 Dic,"11,31"
2010 Ene,"14,62"
2010 Feb,"12,59"
2010 Mar,"11,81"
2010 Abr,"12,24"
2010 May,"12,04"
2010 Jun,"11,64"
2010 Jul,"12,68"
2010 Ago,"11,16"
2010 Sep,"10,57"
2010 Oct,"10,15"
2010 Nov,"10,79"
2010 Dic,"11,12"
2011 Ene,"13,56"
2011 Feb,"12,86"
2011 Mar,"10,87"
2011 Abr,"11,19"
2011 May,"11,24"
2011 Jun,"10,91"
2011 Jul,"11,54"
2011 Ago,"10,08"
2011 Sep,"9,74"
2011 Oct,"9,00"
2011 Nov,"9,22"
2011 Dic,"9,82"
2012 Ene,"12,48"
2012 Feb,"11,87"
2012 Mar,"10,36"
2012 Abr,"10,86"
2012 May,"10,71"
2012 Jun,"10,03"
2012 Jul,"10,86"
2012 Ago,"9,75"
2012 Sep,"9,94"
2012 Oct,"8,85"
2012 Nov,"9,25"
2012 Dic,"9,55"
2013 Ene,"12,07"
2013 Feb,"11,79"
2013 Mar,"10,21"
2013 Abr,"10,17"
2013 May,"9,42"
2013 Jun,"9,24"
2013 Jul,"9,88"
2013 Ago,"9,27"
2013 Sep,"8,98"
2013 Oct,"7,79"
2013 Nov,"8,48"
2013 Dic,"8,44"
2014 Ene,"11,10"
2014 Feb,"10,68"
2014 Mar,"9,73"
2014 Abr,"8,97"
2014 May,"8,80"
2014 Jun,"9,19"
2014 Jul,"9,29"
2014 Ago,"8,90"
2014 Sep,"8,35"
2014 Oct,"7,86"
2014 Nov,"7,71"
2014 Dic,"8,72"
2015 Ene,"10,79"
2015 Feb,"9,86"
2015 Mar,"8,86"
2015 Abr,"9,50"
2015 May,"8,93"
2015 Jun,"8,25"
2015 Jul,"8,84"
2015 Ago,"9,09"
2015 Sep,"8,98"
2015 Oct,"8,19"
2015 Nov,"7,27"
2015 Dic,"8,59"
2016 Ene,"11,91"
2016 Feb,"10,00"
2016 Mar,"10,14"
2016 Abr,"9,02"
2016 May,"8,85"
2016 Jun,"8,88"
2016 Jul,"9,85"
2016 Ago,"8,99"
2016 Sep,"8,51"
2016 Oct,"8,29"
2016 Nov,"7,51"
2016 Dic,"8,74"
2017 Ene,"11,73"
2017 Feb,"10,50"
2017 Mar,"9,70"
2017 Abr,"8,91"
2017 May,"9,42"
2017 Jun,"8,72"
2017 Jul,"9,68"
2017 Ago,"9,10"
2017 Sep,"9,22"
2017 Oct,"8,56"
2017 Nov,"8,37"
2017 Dic,"8,63"
2018 Ene,"11,76"
2018 Feb,"10,80"
2018 Mar,"9,44"
2018 Abr,"9,46"
2018 May,"9,73"
2018 Jun,"9,08"
2018 Jul,"9,72"
2018 Ago,"9,16"
2018 Sep,"9,48"
2018 Oct,"9,06"
2018 Nov,"8,76"
2018 Dic,"9,72"
2019 Ene,"12,80"
2019 Feb,"11,77"
